Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,110000.0,,110000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,30 or more years,137000.0,,137000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,21-23 years,74000.0,Yearly,74000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher,9-11 years,59004.0,Yearly,59004.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Product manager;System administrator",24-26 years,140000.0,Yearly,140000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;System administrator,18-20 years,92000.0,,92000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,9-11 years,105000.0,Yearly,105000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Engineering manager;Full-stack developer;Student,12-14 years,54000.0,Yearly,54000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer,6-8 years,8000.0,Monthly,96000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,12-14 years,70000.0,Yearly,70000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;QA or test developer;System administrator,6-8 years,160000.0,Yearly,160000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,12-14 years,131000.0,Yearly,131000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager;QA or test developer,24-26 years,150000.0,Yearly,150000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,3-5 years,116000.0,Yearly,116000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Data scientist or machine learning specialist;Database administrator;DevOps specialist;QA or test developer;System administrator,6-8 years,56000.0,Yearly,56000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,85000.0,Yearly,85000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Data scientist or machine learning specialist,3-5 years,150000.0,Yearly,150000.0
No,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager,15-17 years,90000.0,,90000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;QA or test developer,6-8 years,125000.0,Yearly,125000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist,12-14 years,150000.0,Yearly,150000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher,3-5 years,79000.0,Yearly,79000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,"1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,9-11 years,105000.0,,105000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,3-5 years,107000.0,Yearly,107000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,67000.0,Yearly,67000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Front-end developer;Full-stack developer;Student,6-8 years,1000.0,Monthly,12000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Front-end developer;Full-stack developer;Marketing or sales professional;Product manager;System administrator,30 or more years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer;System administrator,21-23 years,115000.0,Yearly,115000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,80000.0,Yearly,80000.0
Yes,Yes,United States,No,Employed full-time,"Professional degree (JD, MD, etc.)","A business discipline (ex. accounting, finance, marketing)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Full-stack developer,30 or more years,180000.0,Yearly,180000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data scientist or machine learning specialist;Designer;Desktop or enterprise applications developer;Educator or academic researcher;Engineering manager;Product manager,27-29 years,140000.0,,140000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Full-stack developer,3-5 years,61000.0,,61000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,2500.0,Monthly,30000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Full-stack developer,12-14 years,107000.0,,107000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Embedded applications or devices developer;Engineering manager;Product manager;Student",12-14 years,9920.0,Monthly,119040.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Student,3-5 years,93150.0,,93150.0
Yes,No,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Mobile developer;Student,3-5 years,10000.0,Yearly,10000.0
Yes,No,United States,,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,155000.0,Yearly,155000.0
